Side,G,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Team,25,,31.5,69,0.456,21.4,29.5,0.726,51,,,,,17.9,84.4,1966
Opponent,25,,32.4,77.8,0.416,15.8,23.3,0.679,47,,,,,,,1966
Team,25,,31,65.2,0.475,17,24.1,0.708,47.7,,,,,18.5,79,1967
Opponent,25,,29.7,72.2,0.411,15.7,22.4,0.703,42.7,,,,,19.6,75.1,1967
Team,25,,32.8,74,0.443,18.8,27.9,0.673,52.2,,,,,20.4,84.4,1968
Opponent,25,,32.8,77.3,0.424,20.4,28.5,0.716,50.7,,,,,21,85.9,1968
