Year,Date,Type,At-Home,Opponent,Conf,SRS,Win-Loss,Tm,Opp,OT,W,L,Streak,Arena
1966,"Sat, Jan 1, 1966",REG,@,New Mexico,WAC,6.69,L,66,87,,4,4,L 1,Johnson Gymnasium
1966,"Thu, Jan 6, 1966",REG,,Wyoming,WAC,12.05,L,88,90,,4,5,L 2,DU Fieldhouse
1966,"Sat, Jan 8, 1966",REG,,Colorado State,Ind,5.97,W,82,65,,5,5,W 1,DU Fieldhouse
1966,"Thu, Jan 13, 1966",REG,@,Utah State,Ind,2.46,W,79,72,,6,5,W 2,Nelson Fieldhouse
1966,"Sat, Jan 22, 1966",REG,,New Mexico State,Ind,-21.28,W,115,84,,7,5,W 3,DU Fieldhouse
1966,"Sat, Jan 29, 1966",REG,@,Oklahoma City,Ind,8.16,L,87,98,,7,6,L 1,Fredrickson Fieldhouse
1966,"Sat, Feb 5, 1966",REG,@,Colorado State,Ind,5.97,L,65,67,,7,7,L 2,Men's Gym
1966,"Fri, Feb 11, 1966",REG,@,Wyoming,WAC,12.05,L,69,89,,7,8,L 3,War Memorial Fieldhouse
1966,"Sat, Feb 12, 1966",REG,@,Brigham Young,WAC,16.89,L,76,102,,7,9,L 4,George Albert Smith Field House
1966,"Thu, Feb 17, 1966",REG,,Oklahoma City,Ind,8.16,W,84,83,,8,9,W 1,DU Fieldhouse
1966,"Sat, Feb 19, 1966",REG,,New Mexico,WAC,6.69,L,77,86,,8,10,L 1,DU Fieldhouse
1966,"Thu, Feb 24, 1966",REG,,Creighton,Ind,2.75,L,77,92,,8,11,L 2,DU Fieldhouse
1966,"Sat, Feb 26, 1966",REG,,Utah State,Ind,2.46,W,100,81,,9,11,W 1,DU Fieldhouse
1966,"Wed, Mar 2, 1966",REG,,Air Force,Ind,0.42,W,86,81,,10,11,W 2,DU Fieldhouse
