benchmark,nursery,run,wall_s,peak_rss_bytes,peak_rss_source,peak_rss_vm,gc_minor,gc_major,gc_promoted_objects,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
binarytrees,128m,7,1.899565,201019392,gnu_time,201019392,20,9,585258,32774432,9721,26989,50450,0
binarytrees,128m,8,1.990139,200822784,gnu_time,200822784,20,9,585258,32774432,10988,32113,59521,0
binarytrees,128m,9,2.014472,200794112,gnu_time,200794112,20,9,585258,32774432,10093,33148,59417,0
binarytrees,128m,10,1.917894,201080832,gnu_time,201080832,20,9,585258,32774432,9852,25575,53781,0
binarytrees,128m,11,1.909264,200826880,gnu_time,200826880,20,9,585258,32774432,9610,31607,54538,0
binarytrees,128m,12,1.870462,201084928,gnu_time,201084928,20,9,585258,32774432,9757,31756,53016,0
binarytrees,128m,13,1.961928,201084928,gnu_time,201084928,20,9,585258,32774432,9991,32721,63998,0
binarytrees,128m,14,1.982391,200826880,gnu_time,200826880,20,9,585258,32774432,9977,25450,54275,0
binarytrees,128m,15,1.955599,200822784,gnu_time,200822784,20,9,585258,32774432,9733,29964,60308,0
bench_gc_churn,16m,1,0.146989,25710592,gnu_time,25673728,28,0,70,3360,1172,1382,1583,0
bench_gc_churn,16m,2,0.145525,26095616,gnu_time,26095616,28,0,70,3360,1156,1285,1557,0
bench_gc_churn,16m,3,0.151654,25313280,gnu_time,25313280,28,0,70,3360,1168,1394,1586,0
bench_gc_churn,16m,4,0.159937,25985024,gnu_time,25985024,28,0,70,3360,1155,1222,1273,0
bench_gc_churn,16m,5,0.155778,25706496,gnu_time,25706496,28,0,70,3360,1241,1322,1442,0
bench_gc_churn,16m,6,0.204448,25395200,gnu_time,25362432,28,0,70,3360,1276,1493,1604,0
bench_gc_churn,16m,7,0.162638,24600576,gnu_time,24600576,28,0,70,3360,1187,1292,1419,0
bench_gc_churn,16m,8,0.167283,25526272,gnu_time,25493504,28,0,70,3360,1185,1273,1529,0
bench_gc_churn,16m,9,0.170537,25116672,gnu_time,25083904,28,0,70,3360,1165,1407,1475,0
bench_gc_churn,16m,10,0.148880,25804800,gnu_time,25767936,28,0,70,3360,1168,1341,1346,0
bench_gc_churn,16m,11,0.166535,25935872,gnu_time,25935872,28,0,70,3360,1179,1248,1419,0
bench_gc_churn,16m,12,0.176830,26562560,gnu_time,26562560,28,0,70,3360,1181,1378,1610,0
bench_gc_churn,16m,13,0.168990,25583616,gnu_time,25583616,28,0,70,3360,1177,1478,1580,0
bench_gc_churn,16m,14,0.180159,25333760,gnu_time,25333760,28,0,70,3360,1218,1338,1536,0
bench_gc_churn,16m,15,0.232709,24723456,gnu_time,24686592,28,0,70,3360,1206,1581,3454,0
bench_gc_churn,32m,1,0.159100,43597824,gnu_time,43597824,14,0,28,1344,2051,2174,2214,0
bench_gc_churn,32m,2,0.167618,42549248,gnu_time,42520576,14,0,28,1344,1998,2156,2196,0
bench_gc_churn,32m,3,0.141014,42631168,gnu_time,42631168,14,0,28,1344,2008,2396,2578,0
bench_gc_churn,32m,4,0.175824,42475520,gnu_time,42446848,14,0,28,1344,2103,2484,2563,0
bench_gc_churn,32m,5,0.155342,43249664,gnu_time,43249664,14,0,28,1344,2115,2347,2399,0
bench_gc_churn,32m,6,0.148755,43028480,gnu_time,42999808,14,0,28,1344,2069,2314,2404,0
bench_gc_churn,32m,7,0.150927,42921984,gnu_time,42921984,14,0,28,1344,2113,2221,2259,0
bench_gc_churn,32m,8,0.169802,43716608,gnu_time,43638784,14,0,28,1344,2110,2424,2510,0
bench_gc_churn,32m,9,0.150323,43184128,gnu_time,43184128,14,0,28,1344,2059,2139,2510,0
bench_gc_churn,32m,10,0.146398,43270144,gnu_time,43270144,14,0,28,1344,2011,2107,3631,0
bench_gc_churn,32m,11,0.141484,42147840,gnu_time,42147840,14,0,28,1344,2000,2145,2269,0
bench_gc_churn,32m,12,0.141289,41390080,gnu_time,41390080,14,0,28,1344,1983,2415,2536,0
bench_gc_churn,32m,13,0.142314,42143744,gnu_time,42143744,14,0,28,1344,1971,2161,2181,0
bench_gc_churn,32m,14,0.146222,42008576,gnu_time,42008576,14,0,28,1344,2020,2219,2249,0
bench_gc_churn,32m,15,0.140916,42573824,gnu_time,42541056,14,0,28,1344,1971,2264,2333,0
bench_gc_churn,64m,1,0.144768,75317248,gnu_time,75317248,7,0,17,816,3733,3861,3877,0
bench_gc_churn,64m,2,0.142515,76570624,gnu_time,76541952,7,0,17,816,3791,3960,4073,0
bench_gc_churn,64m,3,0.140890,75575296,gnu_time,75546624,7,0,17,816,3892,4252,4272,0
bench_gc_churn,64m,4,0.145301,75927552,gnu_time,75894784,7,0,17,816,3671,4089,4230,0
bench_gc_churn,64m,5,0.141041,75333632,gnu_time,75300864,7,0,17,816,3596,3719,4145,0
bench_gc_churn,64m,6,0.138985,76378112,gnu_time,76345344,7,0,17,816,3773,3808,4006,0
bench_gc_churn,64m,7,0.142413,76693504,gnu_time,76664832,7,0,17,816,3668,3786,3864,0
bench_gc_churn,64m,8,0.146475,75440128,gnu_time,75411456,7,0,17,816,3853,4041,4087,0
bench_gc_churn,64m,9,0.142207,76689408,gnu_time,76689408,7,0,17,816,3717,3825,4255,0
bench_gc_churn,64m,10,0.142350,75976704,gnu_time,75976704,7,0,17,816,3688,3938,5000,0
bench_gc_churn,64m,11,0.145916,75583488,gnu_time,75554816,7,0,17,816,3612,4315,4341,0
bench_gc_churn,64m,12,0.143373,75132928,gnu_time,75132928,7,0,17,816,3654,3821,4090,0
bench_gc_churn,64m,13,0.140379,76423168,gnu_time,76423168,7,0,17,816,3627,3715,3782,0
bench_gc_churn,64m,14,0.147033,76783616,gnu_time,76652544,7,0,17,816,3783,3816,7584,0
bench_gc_churn,64m,15,0.187451,75182080,gnu_time,75182080,7,0,17,816,3696,4014,4032,0
bench_gc_churn,128m,1,0.160249,142319616,gnu_time,142209024,3,0,6,288,7307,7307,7661,0
bench_gc_churn,128m,2,0.148871,142057472,gnu_time,141864960,3,0,6,288,7442,7442,7540,0
bench_gc_churn,128m,3,0.146780,142356480,gnu_time,142356480,3,0,6,288,7207,7207,7233,0
bench_gc_churn,128m,4,0.208608,142110720,gnu_time,142110720,3,0,6,288,7941,7941,8906,0
bench_gc_churn,128m,5,0.163994,142327808,gnu_time,142327808,3,0,6,288,8047,8047,8351,0
bench_gc_churn,128m,6,0.171898,142057472,gnu_time,142057472,3,0,6,288,7674,7674,7910,0
bench_gc_churn,128m,7,0.153570,142299136,gnu_time,142299136,3,0,6,288,7439,7439,7987,0
bench_gc_churn,128m,8,0.149590,141950976,gnu_time,141950976,3,0,6,288,7391,7391,7597,0
bench_gc_churn,128m,9,0.147277,142180352,gnu_time,142180352,3,0,6,288,7261,7261,7467,0
bench_gc_churn,128m,10,0.169609,141848576,gnu_time,141848576,3,0,6,288,7393,7393,7692,0
bench_gc_churn,128m,11,0.164654,142209024,gnu_time,142209024,3,0,6,288,7417,7417,7691,0
bench_gc_churn,128m,12,0.156999,142168064,gnu_time,142168064,3,0,6,288,7800,7800,7899,0
bench_gc_churn,128m,13,0.154182,142057472,gnu_time,141893632,3,0,6,288,7422,7422,7433,0
bench_gc_churn,128m,14,0.162612,142057472,gnu_time,141852672,3,0,6,288,7647,7647,7808,0
bench_gc_churn,128m,15,0.144658,142557184,gnu_time,142557184,3,0,6,288,7218,7218,7364,0
bench_gc_large_heap,16m,1,0.118127,82698240,gnu_time,82698240,2,0,524289,29360184,28623,28623,55157,0
bench_gc_large_heap,16m,2,0.105488,81313792,gnu_time,81313792,2,0,524289,29360184,30207,30207,44949,0
bench_gc_large_heap,16m,3,0.110122,81170432,gnu_time,81170432,2,0,524289,29360184,34407,34407,45109,0
bench_gc_large_heap,16m,4,0.107373,81285120,gnu_time,81285120,2,0,524289,29360184,31051,31051,45049,0
bench_gc_large_heap,16m,5,0.107337,83181568,gnu_time,83181568,2,0,524289,29360184,31150,31150,44065,0
bench_gc_large_heap,16m,6,0.096724,81240064,gnu_time,81240064,2,0,524289,29360184,27450,27450,39869,0
bench_gc_large_heap,16m,7,0.099303,82141184,gnu_time,82141184,2,0,524289,29360184,28894,28894,40115,0
bench_gc_large_heap,16m,8,0.103480,81174528,gnu_time,81174528,2,0,524289,29360184,32650,32650,40791,0
bench_gc_large_heap,16m,9,0.104167,83197952,gnu_time,83197952,2,0,524289,29360184,30503,30503,43209,0
bench_gc_large_heap,16m,10,0.107457,81645568,gnu_time,81645568,2,0,524289,29360184,30123,30123,47277,0
bench_gc_large_heap,16m,11,0.123952,81989632,gnu_time,81989632,2,0,524289,29360184,41989,41989,45367,0
bench_gc_large_heap,16m,12,0.108519,83263488,gnu_time,83263488,2,0,524289,29360184,30286,30286,46584,0
bench_gc_large_heap,16m,13,0.098493,80719872,gnu_time,80719872,2,0,524289,29360184,29894,29894,38926,0
bench_gc_large_heap,16m,14,0.096659,81432576,gnu_time,81432576,2,0,524289,29360184,28561,28561,39634,0
bench_gc_large_heap,16m,15,0.097917,82538496,gnu_time,82538496,2,0,524289,29360184,29116,29116,38950,0
bench_gc_large_heap,32m,1,0.091892,104792064,gnu_time,104792064,1,0,524289,29360184,60563,60563,60563,0
bench_gc_large_heap,32m,2,0.088021,105168896,gnu_time,105168896,1,0,524289,29360184,59936,59936,59936,0
bench_gc_large_heap,32m,3,0.087725,106975232,gnu_time,106975232,1,0,524289,29360184,59275,59275,59275,0
bench_gc_large_heap,32m,4,0.086814,105594880,gnu_time,105594880,1,0,524289,29360184,58841,58841,58841,0
bench_gc_large_heap,32m,5,0.084253,104214528,gnu_time,104214528,1,0,524289,29360184,56047,56047,56047,0
bench_gc_large_heap,32m,6,0.091997,106766336,gnu_time,106766336,1,0,524289,29360184,62479,62479,62479,0
bench_gc_large_heap,32m,7,0.087851,105443328,gnu_time,105443328,1,0,524289,29360184,59874,59874,59874,0
bench_gc_large_heap,32m,8,0.090328,105689088,gnu_time,105689088,1,0,524289,29360184,60639,60639,60639,0
bench_gc_large_heap,32m,9,0.090317,105750528,gnu_time,105750528,1,0,524289,29360184,61512,61512,61512,0
bench_gc_large_heap,32m,10,0.097238,105078784,gnu_time,105078784,1,0,524289,29360184,66875,66875,66875,0
bench_gc_large_heap,32m,11,0.086596,104267776,gnu_time,104267776,1,0,524289,29360184,58808,58808,58808,0
bench_gc_large_heap,32m,12,0.087568,105615360,gnu_time,105615360,1,0,524289,29360184,59503,59503,59503,0
bench_gc_large_heap,32m,13,0.087691,105041920,gnu_time,105041920,1,0,524289,29360184,59120,59120,59120,0
bench_gc_large_heap,32m,14,0.088442,104673280,gnu_time,104673280,1,0,524289,29360184,59231,59231,59231,0
bench_gc_large_heap,32m,15,0.086351,105484288,gnu_time,105484288,1,0,524289,29360184,57484,57484,57484,0
bench_gc_large_heap,64m,1,0.024434,43905024,gnu_time,43905024,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,2,0.022974,42622976,gnu_time,42622976,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,3,0.024800,43880448,gnu_time,43880448,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,4,0.024655,44613632,gnu_time,44613632,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,5,0.023437,43859968,gnu_time,43859968,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,6,0.024722,44564480,gnu_time,44564480,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,7,0.023717,44003328,gnu_time,44003328,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,8,0.023605,43270144,gnu_time,43270144,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,9,0.024323,44146688,gnu_time,44146688,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,10,0.024220,43634688,gnu_time,43634688,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,11,0.038389,44228608,gnu_time,44228608,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,12,0.023118,44433408,gnu_time,44433408,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,13,0.023498,43581440,gnu_time,43581440,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,14,0.023395,44212224,gnu_time,44212224,0,0,0,0,0,0,0,0
bench_gc_large_heap,64m,15,0.023037,43765760,gnu_time,43765760,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,1,0.024017,43880448,gnu_time,43880448,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,2,0.025376,43659264,gnu_time,43659264,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,3,0.023309,44621824,gnu_time,44621824,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,4,0.022812,43233280,gnu_time,43057152,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,5,0.023380,43495424,gnu_time,43495424,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,6,0.022970,44814336,gnu_time,44814336,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,7,0.022953,44371968,gnu_time,44371968,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,8,0.022881,42856448,gnu_time,42856448,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,9,0.023774,44814336,gnu_time,44814336,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,10,0.024676,43450368,gnu_time,43450368,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,11,0.023213,42606592,gnu_time,42606592,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,12,0.022745,44326912,gnu_time,44326912,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,13,0.022315,43642880,gnu_time,43642880,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,14,0.023556,42590208,gnu_time,42590208,0,0,0,0,0,0,0,0
bench_gc_large_heap,128m,15,0.023132,43888640,gnu_time,43888640,0,0,0,0,0,0,0,0
