build,benchmark,run,wall_s,peak_rss_time_l,peak_rss_vm,gc_minor,gc_major,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
v2026.9.4,spectralnorm,8,2.910576,6291456,,,,,,,,0
master,spectralnorm,9,2.871591,6586368,6537216,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,9,2.889307,6291456,,,,,,,,0
master,spectralnorm,10,2.842672,6668288,6619136,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,10,2.877911,6356992,,,,,,,,0
master,spectralnorm,11,2.942777,6651904,6602752,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,11,2.955710,6307840,,,,,,,,0
master,spectralnorm,12,2.919990,6684672,6635520,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,12,2.885946,6275072,,,,,,,,0
master,spectralnorm,13,2.891818,6586368,6537216,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,13,2.891383,6356992,,,,,,,,0
master,spectralnorm,14,2.896642,6586368,6537216,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,14,2.886850,6275072,,,,,,,,0
master,spectralnorm,15,2.893746,6569984,6520832,0,0,0,0,0,0,0
v2026.9.4,spectralnorm,15,2.897481,6242304,,,,,,,,0
master,fannkuchredux,1,37.772312,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,1,37.706412,5259264,,,,,,,,0
master,fannkuchredux,2,37.308153,5619712,5570560,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,2,37.186706,5275648,,,,,,,,0
master,fannkuchredux,3,37.663335,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,3,37.675171,5226496,,,,,,,,0
master,fannkuchredux,4,37.220430,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,4,37.201632,5226496,,,,,,,,0
master,fannkuchredux,5,37.321303,5619712,5570560,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,5,37.356156,5226496,,,,,,,,0
master,fannkuchredux,6,37.521363,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,6,37.203024,5292032,,,,,,,,0
master,fannkuchredux,7,37.292313,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,7,37.194151,5226496,,,,,,,,0
master,fannkuchredux,8,37.444908,5537792,5488640,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,8,37.221361,5275648,,,,,,,,0
master,fannkuchredux,9,37.485364,5570560,5521408,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,9,37.578044,5210112,,,,,,,,0
master,fannkuchredux,10,37.832581,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,10,37.467287,5226496,,,,,,,,0
master,fannkuchredux,11,37.356431,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,11,37.669301,5259264,,,,,,,,0
master,fannkuchredux,12,37.264487,5554176,5505024,0,0,0,0,0,0,0
v2026.9.4,fannkuchredux,12,37.436810,5292032,,,,,,,,0
