build,benchmark,run,wall_s,peak_rss_time_l,peak_rss_vm,gc_minor,gc_major,gc_promoted_bytes,pause_p50_us,pause_p95_us,pause_max_us,exit
v2026.9.4,bench_matrix_multiply,2,0.250680,11223040,,,,,,,,0
master,bench_matrix_multiply,3,0.269812,11501568,11452416,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,3,0.230002,11157504,,,,,,,,0
master,bench_matrix_multiply,4,0.288519,11550720,11501568,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,4,0.252692,11173888,,,,,,,,0
master,bench_matrix_multiply,5,0.210294,11517952,11468800,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,5,0.201824,11206656,,,,,,,,0
master,bench_matrix_multiply,6,0.255538,11501568,11452416,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,6,0.194210,11255808,,,,,,,,0
master,bench_matrix_multiply,7,0.345878,11517952,11468800,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,7,0.193799,11239424,,,,,,,,0
master,bench_matrix_multiply,8,0.202996,11468800,11419648,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,8,0.267592,11223040,,,,,,,,0
master,bench_matrix_multiply,9,0.294149,11485184,11436032,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,9,0.217626,11223040,,,,,,,,0
master,bench_matrix_multiply,10,0.242146,11501568,11452416,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,10,0.192628,11173888,,,,,,,,0
master,bench_matrix_multiply,11,0.202144,11517952,11468800,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,11,0.236971,11173888,,,,,,,,0
master,bench_matrix_multiply,12,0.197968,11517952,11468800,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,12,0.192019,11206656,,,,,,,,0
master,bench_matrix_multiply,13,0.219884,11485184,11436032,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,13,0.211735,11206656,,,,,,,,0
master,bench_matrix_multiply,14,0.198973,11517952,11468800,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,14,0.191722,11190272,,,,,,,,0
master,bench_matrix_multiply,15,0.197652,11550720,11501568,0,0,0,0,0,0,0
v2026.9.4,bench_matrix_multiply,15,0.191581,11141120,,,,,,,,0
master,bench_method_dispatch,1,0.372235,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,1,0.372909,5095424,,,,,,,,0
master,bench_method_dispatch,2,0.370509,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,2,0.372243,5095424,,,,,,,,0
master,bench_method_dispatch,3,0.371711,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,3,0.371314,5144576,,,,,,,,0
master,bench_method_dispatch,4,0.370719,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,4,0.373064,5095424,,,,,,,,0
master,bench_method_dispatch,5,0.372220,5488640,5439488,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,5,0.376261,5128192,,,,,,,,0
master,bench_method_dispatch,6,0.374938,5472256,5423104,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,6,0.372882,5079040,,,,,,,,0
master,bench_method_dispatch,7,0.371294,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,7,0.370399,5160960,,,,,,,,0
master,bench_method_dispatch,8,0.370476,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,8,0.370150,5062656,,,,,,,,0
master,bench_method_dispatch,9,0.371033,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,9,0.371128,5144576,,,,,,,,0
master,bench_method_dispatch,10,0.373291,5488640,5439488,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,10,0.373245,5111808,,,,,,,,0
master,bench_method_dispatch,11,0.376942,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,11,0.370409,5160960,,,,,,,,0
master,bench_method_dispatch,12,0.374137,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,12,0.372663,5160960,,,,,,,,0
master,bench_method_dispatch,13,0.373462,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,13,0.370229,5062656,,,,,,,,0
master,bench_method_dispatch,14,0.374023,5505024,5455872,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,14,0.373766,5079040,,,,,,,,0
master,bench_method_dispatch,15,0.371270,5390336,5341184,0,0,0,0,0,0,0
v2026.9.4,bench_method_dispatch,15,0.370381,5128192,,,,,,,,0
master,bench_copy_prop,1,0.058330,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,1,0.058232,5095424,,,,,,,,0
master,bench_copy_prop,2,0.057903,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,2,0.057967,5079040,,,,,,,,0
master,bench_copy_prop,3,0.058031,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,3,0.059361,5111808,,,,,,,,0
master,bench_copy_prop,4,0.057996,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,4,0.058569,5029888,,,,,,,,0
master,bench_copy_prop,5,0.058058,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,5,0.057836,5079040,,,,,,,,0
master,bench_copy_prop,6,0.058245,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,6,0.057882,5111808,,,,,,,,0
master,bench_copy_prop,7,0.057847,5390336,5341184,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,7,0.057796,5079040,,,,,,,,0
master,bench_copy_prop,8,0.058138,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,8,0.058302,5013504,,,,,,,,0
master,bench_copy_prop,9,0.057810,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,9,0.058252,5079040,,,,,,,,0
master,bench_copy_prop,10,0.057890,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,10,0.057742,5062656,,,,,,,,0
master,bench_copy_prop,11,0.060494,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,11,0.058067,5029888,,,,,,,,0
master,bench_copy_prop,12,0.058040,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,12,0.058290,5095424,,,,,,,,0
master,bench_copy_prop,13,0.058200,5390336,5341184,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,13,0.058089,5029888,,,,,,,,0
master,bench_copy_prop,14,0.057907,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,14,0.057819,5111808,,,,,,,,0
master,bench_copy_prop,15,0.058140,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_copy_prop,15,0.058445,5013504,,,,,,,,0
master,bench_dead_code,1,0.051423,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,1,0.050653,5111808,,,,,,,,0
master,bench_dead_code,2,0.050952,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,2,0.051363,5079040,,,,,,,,0
master,bench_dead_code,3,0.051281,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,3,0.051403,5029888,,,,,,,,0
master,bench_dead_code,4,0.051119,5357568,5308416,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,4,0.051371,5095424,,,,,,,,0
master,bench_dead_code,5,0.051401,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,5,0.051064,5095424,,,,,,,,0
master,bench_dead_code,6,0.050920,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,6,0.050672,5029888,,,,,,,,0
master,bench_dead_code,7,0.051234,5423104,5373952,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,7,0.057500,5046272,,,,,,,,0
master,bench_dead_code,8,0.050590,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,8,0.050975,5128192,,,,,,,,0
master,bench_dead_code,9,0.051097,5455872,5406720,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,9,0.051187,5062656,,,,,,,,0
master,bench_dead_code,10,0.051163,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,10,0.051023,5079040,,,,,,,,0
master,bench_dead_code,11,0.051314,5439488,5390336,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,11,0.051359,5095424,,,,,,,,0
master,bench_dead_code,12,0.050863,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,12,0.051569,5128192,,,,,,,,0
master,bench_dead_code,13,0.053374,5390336,5341184,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,13,0.051816,5046272,,,,,,,,0
master,bench_dead_code,14,0.050858,5373952,5324800,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,14,0.051770,5095424,,,,,,,,0
master,bench_dead_code,15,0.051248,5406720,5357568,0,0,0,0,0,0,0
v2026.9.4,bench_dead_code,15,0.050901,5095424,,,,,,,,0
